"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - Gross production","2017","Kilowatt-hours, million","1098.2","1"
"Afghanistan","From combustible fuels – Main activity","2017","Kilowatt-hours, million","160.3","1"
"Afghanistan","From combustible fuels – Main activity – Electricity plants","2017","Kilowatt-hours, million","163.3","1"
"Afghanistan","Hydro – Main activity","2017","Kilowatt-hours, million","616","1"
"Afghanistan","From combustible fuels – Autoproducer","2017","Kilowatt-hours, million","8","1"
"Afghanistan","From combustible fuels – Autoproducer – Electricity plants","2017","Kilowatt-hours, million","8","1"
"Afghanistan","Hydro – Autoproducer","2017","Kilowatt-hours, million","313.9","1"
"Afghanistan","Electricity - net production","2017","Kilowatt-hours, million","1010.1","1"
"Afghanistan","Electricity - imports","2017","Kilowatt-hours, million","4611.3",""
"Afghanistan","Electricity - Own use by electricity, heat and CHP plants","2017","Kilowatt-hours, million","88.0999999999998","1"
"Afghanistan","Electricity - Losses","2017","Kilowatt-hours, million","710","1"
"Afghanistan","Electricity - Final energy consumption","2017","Kilowatt-hours, million","4515.4","1"
"Afghanistan","Electricity - Consumption by manufacturing, construction and non-fuel industry","2017","Kilowatt-hours, million","945","1"
"Afghanistan","Electricity - Consumption by other manuf., const. and non-fuel ind.","2017","Kilowatt-hours, million","945","1"
"Afghanistan","Electricity - Consumption by other","2017","Kilowatt-hours, million","3570.4","1"
"Afghanistan","Electricity - Consumption by households","2017","Kilowatt-hours, million","2811.8","1"
"Afghanistan","Electricity - Consumption in agriculture, forestry and fishing","2017","Kilowatt-hours, million","109.5","1"
"Afghanistan","Electricity - Consumption not elsewhere specified (other)","2017","Kilowatt-hours, million","336.3","1"
"Afghanistan","Electricity - Consumption by commercial and public services","2017","Kilowatt-hours, million","312.8","1"
"Afghanistan","Electricity - total production, main activity","2017","Kilowatt-hours, million","776.3","1"
"Afghanistan","Electricity - Gross demand","2017","Kilowatt-hours, million","5621.4",""
"Afghanistan","Electricity - total production, autoproducer","2017","Kilowatt-hours, million","321.9","1"
"Albania","Electricity - Gross production","2017","Kilowatt-hours, million","4526.179",""
"Albania","Hydro – Main activity","2017","Kilowatt-hours, million","4526.179",""
"Albania","Electricity - net production","2017","Kilowatt-hours, million","4497.807","1"
"Albania","Electricity - imports","2017","Kilowatt-hours, million","2914.628",""
"Albania","Electricity - exports","2017","Kilowatt-hours, million","0",""
"Albania","Electricity - Energy industries own use","2017","Kilowatt-hours, million","178.721",""
"Albania","Electricity - Own use by oil and gas extraction","2017","Kilowatt-hours, million","52.558",""
"Albania","Electricity - Own use by oil refineries","2017","Kilowatt-hours, million","51.279",""
"Albania","Electricity - Own use by electricity, heat and CHP plants","2017","Kilowatt-hours, million","28.3720000000003",""
"Albania","Electricity - Other energy industry own use","2017","Kilowatt-hours, million","74.884",""
"Albania","Electricity - Losses","2017","Kilowatt-hours, million","1276.047",""
"Albania","Electricity - Final energy consumption","2017","Kilowatt-hours, million","5956.465",""
"Albania","Electricity - Consumption by manufacturing, construction and non-fuel industry","2017","Kilowatt-hours, million","1254.998",""
"Albania","Electricity - Consumption by iron and steel","2017","Kilowatt-hours, million","177.929",""
"Albania","Electricity - Consumption by chemical and petrochemical","2017","Kilowatt-hours, million","90.313",""
"Albania","Electricity - Consumption by other manuf., const. and non-fuel ind.","2017","Kilowatt-hours, million","986.756",""
"Albania","Electricity - Consumption by non-ferrous metals","2017","Kilowatt-hours, million","78.642",""
